 ,Signup_Date,Cancel_Date,Plan_Type,Country,Industry,Monthly_Recurring_Revenue,Total_Contract_Value,Payment_Method,Currency,Churned,Customer Status,Is_Active,Active Months,Churn_Reason,NPS_Score,NPS_Scrore_Clean,Support_Tickets_Opened,Acquisition_Channel,Is_Referral_Customer,Region,Cohort_Month,Column1
CUST0345,2023-08-17,,Basic,United Kingdom,Fintech,29,290,PayPal,GBP,No,Active,1,10,Not Provided,9,9,1,Organic,No,Asia,2023-08,
CUST0346,2023-03-19,,Basic,India,Fintech,29,435,Wire,USD,No,Active,1,15,Not Provided,,No Score,3,Organic,No,Other,2023-03,
CUST0347,2023-12-03,,Pro,United Kingdom,HealthTech,79,553,Wire,GBP,No,Active,1,6,Not Provided,4,4,1,Organic,Yes,Asia,2023-12,
CUST0348,2023-03-03,2023-05-04,Basic,United States,HealthTech,29,58,Wire,GBP,Yes,Churned,0,2,Switched to Competitor,4,4,1,Organic,No,Europe,2023-03,
CUST0349,2023-08-09,2024-02-02,Basic,United States,Fintech,29,145,PayPal,USD,Yes,Churned,0,5,Bugs,8,8,1,Organic,No,North America,2023-08,
CUST0350,2023-05-14,2023-11-01,Basic,Canada,Fintech,29,145,Wire,EUR,Yes,Churned,0,5,Pricing,10,10,1,Referral,No,Asia,2023-05,
CUST0351,2024-02-06,,Pro,Germany,HealthTech,79,316,Card,USD,No,Active,1,4,Not Provided,,No Score,0,Paid,Yes,Other,2024-02,
CUST0352,2023-08-24,,Basic,Canada,HealthTech,29,290,Card,GBP,No,Active,1,10,Not Provided,,No Score,2,Referral,No,Other,2023-08,
CUST0353,2023-06-30,,Enterprise,United States,Fintech,199,2388,Card,USD,No,Active,1,12,Not Provided,5,5,1,Paid,No,North America,2023-06,
CUST0354,2023-06-19,2023-09-28,Pro,Australia,Real Estate,79,237,Wire,USD,Yes,Churned,0,3,Switched to Competitor,7,7,2,Organic,Yes,North America,2023-06,
CUST0355,2023-11-14,,Enterprise,Australia,Marketing,199,1393,Wire,EUR,No,Active,1,7,Not Provided,,No Score,0,Referral,No,Other,2023-11,
CUST0356,2023-09-05,2024-02-24,Basic,Canada,E-commerce,29,145,PayPal,EUR,Yes,Churned,0,5,Not Provided,,No Score,0,Organic,No,Asia,2023-09,
CUST0357,2023-02-23,,Enterprise,Canada,EdTech,199,3184,Wire,GBP,No,Active,1,16,Not Provided,,No Score,1,Organic,No,Asia,2023-02,
CUST0358,2023-06-12,,Pro,United States,EdTech,79,948,PayPal,USD,No,Active,1,12,Not Provided,8,8,2,Paid,No,Europe,2023-06,
CUST0359,2023-07-22,,Basic,Australia,EdTech,29,319,PayPal,USD,No,Active,1,11,Not Provided,4,4,0,Organic,No,Europe,2023-07,
CUST0360,2023-06-13,,Basic,Australia,Fintech,29,348,Wire,GBP,No,Active,1,12,Not Provided,10,10,2,Paid,No,Asia,2023-06,
CUST0361,2023-12-21,2024-03-19,Basic,United States,EdTech,29,58,PayPal,USD,Yes,Churned,0,2,No Value,0,0,1,Organic,No,Other,2023-12,
CUST0362,2023-04-16,,Basic,United States,HealthTech,29,406,Card,USD,No,Active,1,14,Not Provided,,No Score,0,Partnership,No,Asia,2023-04,
CUST0363,2023-11-04,,Pro,United States,E-commerce,79,553,Wire,USD,No,Active,1,7,Not Provided,,No Score,1,Referral,No,Asia,2023-11,
CUST0364,2023-11-01,,Basic,United States,E-commerce,29,232,Wire,EUR,No,Active,1,7,Not Provided,,No Score,0,Paid,Yes,North America,2023-11,
CUST0365,2023-12-23,2024-05-28,Basic,United Kingdom,Real Estate,29,145,Card,EUR,Yes,Churned,0,5,Pricing,,No Score,0,Paid,No,Europe,2023-12,
CUST0366,2024-01-06,2024-04-30,Basic,United States,Fintech,29,87,PayPal,EUR,Yes,Churned,0,3,Pricing,2,2,0,Organic,No,Other,2024-01,
CUST0367,2023-09-01,2024-05-29,Basic,Nigeria,HealthTech,29,261,PayPal,EUR,Yes,Churned,0,8,Pricing,5,5,0,Paid,Yes,Asia,2023-09,
CUST0368,2023-07-25,2023-09-08,Pro,United Kingdom,Real Estate,79,79,PayPal,EUR,Yes,Churned,0,1,Switched to Competitor,0,0,1,Referral,No,Africa,2023-07,
CUST0369,2024-01-27,,Pro,Australia,Fintech,79,395,Card,USD,No,Active,1,5,Not Provided,,No Score,0,Organic,Yes,Other,2024-01,
CUST0370,2024-05-12,,Basic,Canada,Marketing,29,29,Card,USD,No,Active,1,1,Not Provided,5,5,0,Referral,No,Africa,2024-05,
CUST0371,2024-01-15,2024-05-12,Pro,United Kingdom,E-commerce,79,237,PayPal,GBP,Yes,Churned,0,3,Switched to Competitor,,No Score,1,Paid,No,Other,2024-01,
CUST0372,2024-05-03,,Pro,India,Marketing,79,79,PayPal,GBP,No,Active,1,1,Not Provided,6,6,1,Organic,No,Asia,2024-05,
CUST0373,2024-04-22,,Enterprise,United Kingdom,HealthTech,199,398,PayPal,USD,No,Active,1,2,Not Provided,,No Score,0,Organic,No,Other,2024-04,
CUST0374,2023-09-26,2024-04-02,Basic,Nigeria,HealthTech,29,174,Wire,GBP,Yes,Churned,0,6,Pricing,,No Score,0,Organic,No,Asia,2023-09,
CUST0375,2023-01-27,,Enterprise,United Kingdom,HealthTech,199,3383,PayPal,EUR,No,Active,1,17,Not Provided,5,5,1,Organic,No,Other,2023-01,
CUST0376,2024-02-20,,Basic,Canada,HealthTech,29,116,Wire,EUR,No,Active,1,4,Not Provided,2,2,0,Organic,No,Asia,2024-02,
CUST0377,2023-10-11,,Basic,Australia,Fintech,29,232,Wire,EUR,No,Active,1,8,Not Provided,4,4,1,Organic,Yes,Asia,2023-10,
CUST0378,2023-12-26,,Basic,United States,Fintech,29,174,PayPal,EUR,No,Active,1,6,Not Provided,,No Score,1,Organic,Yes,Other,2023-12,
CUST0379,2023-05-19,,Enterprise,Germany,Real Estate,199,2587,Card,EUR,No,Active,1,13,Not Provided,6,6,1,Organic,No,Asia,2023-05,
CUST0380,2023-08-15,,Basic,Nigeria,HealthTech,29,290,Card,EUR,No,Active,1,10,Not Provided,9,9,1,Referral,No,Europe,2023-08,
CUST0381,2023-03-23,,Pro,Nigeria,Real Estate,79,1185,PayPal,USD,No,Active,1,15,Not Provided,3,3,0,Referral,No,Africa,2023-03,
CUST0382,2023-06-26,,Pro,United States,Real Estate,79,948,PayPal,EUR,No,Active,1,12,Not Provided,1,1,0,Paid,Yes,Africa,2023-06,
CUST0383,2023-05-31,,Pro,United Kingdom,Fintech,79,1027,PayPal,EUR,No,Active,1,12,Not Provided,,No Score,2,Organic,Yes,Asia,2023-05,
CUST0384,2023-04-14,2024-06-02,Enterprise,Canada,Real Estate,199,2587,PayPal,USD,Yes,Churned,0,13,No Value,6,6,0,Paid,No,Africa,2023-04,
CUST0385,2023-09-02,,Basic,United Kingdom,EdTech,29,290,PayPal,GBP,No,Active,1,9,Not Provided,9,9,0,Referral,Yes,Asia,2023-09,
CUST0386,2024-02-24,,Basic,United States,Marketing,29,116,Card,USD,No,Active,1,4,Not Provided,0,0,2,Organic,No,Europe,2024-02,
CUST0387,2023-02-05,,Basic,United Kingdom,Fintech,29,493,Wire,GBP,No,Active,1,16,Not Provided,4,4,0,Referral,No,Asia,2023-02,
CUST0388,2023-09-28,,Enterprise,United States,E-commerce,199,1791,PayPal,USD,No,Active,1,9,Not Provided,,No Score,2,Referral,No,Asia,2023-09,
CUST0389,2023-07-17,,Pro,United Kingdom,Marketing,79,869,Card,GBP,No,Active,1,11,Not Provided,,No Score,0,Referral,No,Asia,2023-07,
CUST0390,2024-04-09,,Basic,United Kingdom,Marketing,29,58,Card,EUR,No,Active,1,2,Not Provided,0,0,0,Organic,No,Europe,2024-04,
CUST0391,2023-08-06,,Basic,Nigeria,Fintech,29,290,Wire,GBP,No,Active,1,10,Not Provided,5,5,0,Partnership,No,Asia,2023-08,
CUST0392,2023-05-08,,Pro,United Kingdom,Real Estate,79,1027,Card,EUR,No,Active,1,13,Not Provided,0,0,1,Organic,No,Asia,2023-05,
CUST0393,2023-02-19,2024-06-21,Enterprise,United States,Marketing,199,3184,Card,EUR,Yes,Churned,0,16,No Value,1,1,4,Partnership,No,Other,2023-02,
CUST0394,2023-06-02,,Basic,United States,Real Estate,29,377,PayPal,GBP,No,Active,1,12,Not Provided,,No Score,0,Organic,No,Other,2023-06,
CUST0395,2024-01-28,2024-06-08,Pro,India,Marketing,79,316,Wire,USD,Yes,Churned,0,4,Bugs,,No Score,0,Organic,No,North America,2024-01,
CUST0396,2024-01-19,2024-05-06,Basic,Nigeria,EdTech,29,87,PayPal,EUR,Yes,Churned,0,3,Bugs,,No Score,1,Paid,No,Europe,2024-01,
CUST0397,2023-05-20,2023-10-09,Pro,Nigeria,Marketing,79,316,PayPal,EUR,Yes,Churned,0,4,Other,,No Score,2,Organic,Yes,Africa,2023-05,
CUST0398,2023-05-30,2023-11-10,Pro,United States,Real Estate,79,395,PayPal,USD,Yes,Churned,0,5,Pricing,4,4,0,Organic,No,Africa,2023-05,
CUST0399,2023-05-01,,Basic,United States,EdTech,29,406,Wire,GBP,No,Active,1,13,Not Provided,,No Score,1,Paid,Yes,Europe,2023-05,
CUST0400,2024-04-26,,Pro,United States,Fintech,79,158,PayPal,EUR,No,Active,1,2,Not Provided,4,4,0,Organic,Yes,Other,2024-04,
CUST0401,2023-05-11,2023-07-28,Enterprise,India,Fintech,199,398,PayPal,GBP,Yes,Churned,0,2,Bugs,,No Score,0,Paid,No,North America,2023-05,
CUST0402,2023-08-22,,Basic,India,Marketing,29,290,Wire,USD,No,Active,1,10,Not Provided,,No Score,1,Organic,Yes,Europe,2023-08,
CUST0403,2024-04-23,,Basic,Germany,HealthTech,29,58,Card,GBP,No,Active,1,2,Not Provided,1,1,2,Organic,No,Asia,2024-04,
CUST0404,2024-05-23,,Basic,Nigeria,E-commerce,29,29,Card,GBP,No,Active,1,1,Not Provided,,No Score,2,Organic,No,Africa,2024-05,
CUST0405,2023-06-30,,Basic,India,Marketing,29,348,Wire,USD,No,Active,1,12,Not Provided,9,9,0,Referral,No,Europe,2023-06,
CUST0406,2023-08-28,,Basic,United States,EdTech,29,290,PayPal,USD,No,Active,1,10,Not Provided,,No Score,0,Organic,Yes,Other,2023-08,
CUST0407,2023-03-27,,Enterprise,United Kingdom,EdTech,199,2985,Card,GBP,No,Active,1,15,Not Provided,5,5,0,Organic,No,Other,2023-03,
CUST0408,2024-04-07,,Basic,Canada,Real Estate,29,58,PayPal,USD,No,Active,1,2,Not Provided,5,5,0,Partnership,No,Africa,2024-04,
CUST0409,2023-01-25,2023-08-02,Enterprise,Nigeria,HealthTech,199,1194,Card,USD,Yes,Churned,0,6,No Value,,No Score,0,Referral,No,Africa,2023-01,
CUST0410,2024-01-03,,Enterprise,United States,EdTech,199,995,Wire,USD,No,Active,1,5,Not Provided,,No Score,1,Organic,No,North America,2024-01,
CUST0411,2024-01-22,,Basic,United States,EdTech,29,145,PayPal,EUR,No,Active,1,5,Not Provided,6,6,0,Referral,No,Other,2024-01,
CUST0412,2023-12-21,2024-05-12,Basic,United States,Fintech,29,116,Wire,USD,Yes,Churned,0,4,Switched to Competitor,3,3,2,Organic,No,Asia,2023-12,
CUST0413,2023-09-06,2024-06-23,Pro,United States,EdTech,79,711,Wire,GBP,Yes,Churned,0,9,Bugs,,No Score,1,Organic,Yes,Africa,2023-09,
CUST0414,2023-04-18,,Basic,United States,HealthTech,29,406,Wire,GBP,No,Active,1,14,Not Provided,,No Score,3,Paid,No,Africa,2023-04,
CUST0415,2023-09-13,,Basic,Australia,Fintech,29,261,Wire,GBP,No,Active,1,9,Not Provided,,No Score,0,Paid,No,Other,2023-09,
CUST0416,2023-08-17,,Basic,Canada,Real Estate,29,290,Card,GBP,No,Active,1,10,Not Provided,7,7,1,Organic,No,Other,2023-08,
CUST0417,2023-02-12,,Pro,United States,EdTech,79,1264,PayPal,GBP,No,Active,1,16,Not Provided,,No Score,0,Referral,No,Asia,2023-02,
CUST0418,2023-01-23,,Pro,United States,Fintech,79,1343,Card,EUR,No,Active,1,17,Not Provided,,No Score,1,Paid,No,North America,2023-01,
CUST0419,2024-05-13,2024-06-13,Basic,India,Marketing,29,29,Wire,EUR,Yes,Churned,0,1,Pricing,8,8,1,Organic,No,North America,2024-05,
CUST0420,2023-12-18,2024-05-10,Pro,United States,Real Estate,79,316,Card,USD,Yes,Churned,0,4,Pricing,,No Score,0,Referral,No,North America,2023-12,
CUST0421,2023-03-21,2023-06-22,Pro,Nigeria,E-commerce,79,237,PayPal,GBP,Yes,Churned,0,3,Pricing,,No Score,1,Organic,No,Europe,2023-03,
CUST0422,2024-04-23,2024-06-28,Pro,Nigeria,EdTech,79,158,Wire,GBP,Yes,Churned,0,2,Pricing,,No Score,0,Paid,No,Africa,2024-04,
CUST0423,2023-05-18,2024-04-06,Basic,Australia,E-commerce,29,290,Card,USD,Yes,Churned,0,10,Switched to Competitor,,No Score,0,Organic,No,North America,2023-05,
CUST0424,2023-11-24,,Basic,Nigeria,EdTech,29,203,Wire,EUR,No,Active,1,7,Not Provided,,No Score,2,Organic,Yes,Asia,2023-11,
CUST0425,2023-11-12,2023-12-27,Basic,Australia,E-commerce,29,29,Wire,EUR,Yes,Churned,0,1,No Value,,No Score,1,Partnership,No,Other,2023-11,
CUST0426,2024-04-03,,Basic,United States,Marketing,29,58,PayPal,USD,No,Active,1,2,Not Provided,,No Score,3,Referral,No,Europe,2024-04,
CUST0427,2023-06-19,,Basic,United Kingdom,Marketing,29,348,Wire,EUR,No,Active,1,12,Not Provided,2,2,0,Paid,No,North America,2023-06,
CUST0428,2024-02-04,,Pro,India,Fintech,79,316,Wire,EUR,No,Active,1,4,Not Provided,,No Score,1,Organic,Yes,Asia,2024-02,
CUST0429,2023-01-10,2024-05-28,Basic,Canada,EdTech,29,464,PayPal,EUR,Yes,Churned,0,16,Switched to Competitor,,No Score,1,Partnership,Yes,Other,2023-01,
CUST0430,2024-05-16,2024-06-20,Basic,United States,Real Estate,29,29,PayPal,GBP,Yes,Churned,0,1,Pricing,,No Score,0,Organic,No,Other,2024-05,
CUST0431,2023-12-29,,Basic,India,EdTech,29,174,Wire,USD,No,Active,1,6,Not Provided,,No Score,1,Partnership,No,Africa,2023-12,
CUST0432,2024-02-15,,Pro,Canada,Fintech,79,316,Wire,USD,No,Active,1,4,Not Provided,6,6,2,Referral,No,North America,2024-02,
CUST0433,2023-12-01,2024-05-02,Pro,Germany,EdTech,79,395,Wire,EUR,Yes,Churned,0,5,Switched to Competitor,10,10,1,Paid,No,Other,2023-12,
CUST0434,2023-08-20,,Enterprise,United States,Real Estate,199,1990,PayPal,EUR,No,Active,1,10,Not Provided,,No Score,0,Organic,No,Europe,2023-08,
CUST0435,2023-08-04,,Basic,Australia,Marketing,29,319,PayPal,USD,No,Active,1,10,Not Provided,4,4,1,Organic,Yes,Africa,2023-08,
CUST0436,2023-08-06,,Basic,Nigeria,Real Estate,29,290,PayPal,GBP,No,Active,1,10,Not Provided,3,3,1,Organic,Yes,North America,2023-08,
CUST0437,2023-12-16,,Basic,United States,HealthTech,29,174,Card,GBP,No,Active,1,6,Not Provided,8,8,1,Paid,No,Europe,2023-12,
CUST0438,2024-04-02,,Pro,Nigeria,Marketing,79,158,Card,GBP,No,Active,1,2,Not Provided,,No Score,0,Organic,No,Other,2024-04,
CUST0439,2023-08-07,,Basic,United States,Marketing,29,290,PayPal,GBP,No,Active,1,10,Not Provided,,No Score,1,Organic,No,North America,2023-08,
CUST0440,2024-02-09,2024-04-04,Pro,United States,Fintech,79,79,PayPal,USD,Yes,Churned,0,1,No Value,6,6,0,Partnership,Yes,Europe,2024-02,
CUST0441,2023-01-21,2023-07-12,Basic,United States,Real Estate,29,145,Card,USD,Yes,Churned,0,5,Switched to Competitor,0,0,0,Paid,No,Europe,2023-01,
CUST0442,2024-01-12,,Basic,Canada,Real Estate,29,145,PayPal,EUR,No,Active,1,5,Not Provided,,No Score,2,Paid,No,Africa,2024-01,
CUST0443,2023-04-08,,Basic,United States,EdTech,29,406,PayPal,GBP,No,Active,1,14,Not Provided,10,10,1,Organic,No,North America,2023-04,
CUST0444,2024-02-18,2024-05-04,Pro,Nigeria,Fintech,79,158,Wire,EUR,Yes,Churned,0,2,Switched to Competitor,3,3,0,Referral,No,Other,2024-02,
CUST0445,2024-05-19,,Pro,United States,HealthTech,79,79,Card,EUR,No,Active,1,1,Not Provided,,No Score,0,Organic,Yes,Asia,2024-05,
CUST0446,2023-06-03,,Basic,United Kingdom,Marketing,29,377,Card,EUR,No,Active,1,12,Not Provided,1,1,1,Organic,No,Asia,2023-06,
CUST0447,2023-02-26,,Basic,United States,Fintech,29,464,PayPal,GBP,No,Active,1,16,Not Provided,8,8,1,Organic,No,Africa,2023-02,
CUST0448,2024-03-30,,Pro,United States,HealthTech,79,237,PayPal,EUR,No,Active,1,3,Not Provided,,No Score,2,Organic,No,North America,2024-03,
CUST0449,2023-07-06,,Basic,United States,Real Estate,29,348,Card,USD,No,Active,1,11,Not Provided,10,10,0,Organic,No,Africa,2023-07,
CUST0450,2023-01-17,,Pro,Germany,Marketing,79,1343,PayPal,GBP,No,Active,1,17,Not Provided,,No Score,1,Referral,No,Other,2023-01,
CUST0451,2023-11-25,2024-02-20,Pro,Nigeria,E-commerce,79,158,Wire,GBP,Yes,Churned,0,2,Other,3,3,0,Paid,No,North America,2023-11,
CUST0452,2023-04-14,2024-03-31,Basic,Canada,HealthTech,29,319,PayPal,EUR,Yes,Churned,0,11,Other,,No Score,0,Organic,Yes,Europe,2023-04,
CUST0453,2023-04-07,,Pro,United States,Real Estate,79,1185,Wire,EUR,No,Active,1,14,Not Provided,,No Score,2,Paid,No,Europe,2023-04,
CUST0454,2023-04-15,,Basic,United States,EdTech,29,406,PayPal,USD,No,Active,1,14,Not Provided,,No Score,0,Paid,No,North America,2023-04,
CUST0455,2023-07-23,2023-08-28,Basic,Germany,E-commerce,29,29,PayPal,USD,Yes,Churned,0,1,Pricing,5,5,0,Referral,No,North America,2023-07,
CUST0456,2023-01-02,2023-11-20,Enterprise,Canada,Marketing,199,1990,PayPal,USD,Yes,Churned,0,10,Other,4,4,1,Referral,No,Other,2023-01,
CUST0457,2024-05-29,2024-06-30,Basic,United States,EdTech,29,29,Wire,GBP,Yes,Churned,0,1,Pricing,,No Score,0,Organic,No,Africa,2024-05,
CUST0458,2023-12-30,2024-06-28,Pro,United States,HealthTech,79,474,Card,GBP,Yes,Churned,0,5,Switched to Competitor,,No Score,0,Partnership,No,North America,2023-12,
CUST0459,2023-05-24,,Basic,United Kingdom,Marketing,29,377,PayPal,EUR,No,Active,1,13,Not Provided,,No Score,4,Paid,Yes,Europe,2023-05,
CUST0460,2024-03-11,,Basic,Canada,E-commerce,29,87,PayPal,USD,No,Active,1,3,Not Provided,,No Score,1,Paid,No,Africa,2024-03,
CUST0461,2023-05-16,,Basic,United States,Marketing,29,377,PayPal,EUR,No,Active,1,13,Not Provided,,No Score,1,Paid,Yes,Africa,2023-05,
CUST0462,2024-01-23,,Basic,Canada,E-commerce,29,145,PayPal,EUR,No,Active,1,5,Not Provided,0,0,0,Organic,No,Asia,2024-01,
CUST0463,2023-12-01,,Pro,United States,HealthTech,79,553,Card,EUR,No,Active,1,6,Not Provided,,No Score,0,Organic,No,Europe,2023-12,
CUST0464,2023-12-03,2024-03-24,Pro,Canada,EdTech,79,237,PayPal,GBP,Yes,Churned,0,3,Other,,No Score,0,Organic,No,Other,2023-12,
CUST0465,2023-01-28,2023-04-13,Basic,United States,Marketing,29,58,PayPal,USD,Yes,Churned,0,2,Bugs,3,3,1,Referral,No,Europe,2023-01,
CUST0466,2023-12-01,,Basic,United States,E-commerce,29,203,PayPal,EUR,No,Active,1,6,Not Provided,,No Score,2,Organic,No,Asia,2023-12,
CUST0467,2024-05-05,,Basic,United States,HealthTech,29,29,Card,EUR,No,Active,1,1,Not Provided,3,3,3,Paid,Yes,Asia,2024-05,
CUST0468,2023-11-11,,Basic,Germany,Fintech,29,203,PayPal,USD,No,Active,1,7,Not Provided,4,4,0,Referral,Yes,Other,2023-11,
CUST0469,2023-08-10,,Pro,Canada,Fintech,79,790,Wire,GBP,No,Active,1,10,Not Provided,,No Score,2,Organic,No,Other,2023-08,
CUST0470,2023-07-10,,Basic,United States,EdTech,29,319,PayPal,EUR,No,Active,1,11,Not Provided,,No Score,0,Paid,Yes,Other,2023-07,
CUST0471,2023-01-04,,Pro,Australia,Fintech,79,1422,Card,EUR,No,Active,1,17,Not Provided,4,4,1,Organic,No,Africa,2023-01,
CUST0472,2023-12-22,,Enterprise,Australia,Real Estate,199,1194,Wire,USD,No,Active,1,6,Not Provided,9,9,1,Referral,No,North America,2023-12,
CUST0473,2023-10-14,,Basic,United States,EdTech,29,232,PayPal,USD,No,Active,1,8,Not Provided,8,8,0,Paid,No,Other,2023-10,
CUST0474,2024-03-21,,Basic,Australia,E-commerce,29,87,PayPal,GBP,No,Active,1,3,Not Provided,8,8,3,Paid,No,Europe,2024-03,
CUST0475,2023-02-23,,Basic,Australia,HealthTech,29,464,Card,USD,No,Active,1,16,Not Provided,6,6,1,Organic,Yes,Asia,2023-02,
CUST0476,2023-11-18,2024-05-02,Enterprise,United States,Marketing,199,995,Card,EUR,Yes,Churned,0,5,No Value,,No Score,1,Organic,No,Europe,2023-11,
CUST0477,2023-07-17,,Basic,Germany,Marketing,29,319,Card,GBP,No,Active,1,11,Not Provided,,No Score,1,Referral,No,Other,2023-07,
CUST0478,2024-02-13,2024-05-13,Pro,United States,Fintech,79,237,Card,EUR,Yes,Churned,0,3,Bugs,9,9,1,Organic,No,Other,2024-02,
CUST0479,2024-02-20,,Basic,Canada,Marketing,29,116,Wire,GBP,No,Active,1,4,Not Provided,5,5,0,Organic,No,Africa,2024-02,
CUST0480,2023-10-18,,Pro,Germany,E-commerce,79,632,Card,USD,No,Active,1,8,Not Provided,6,6,0,Partnership,No,Asia,2023-10,
CUST0481,2023-03-17,2024-04-01,Enterprise,India,Fintech,199,2388,Card,USD,Yes,Churned,0,12,Pricing,,No Score,2,Paid,No,Asia,2023-03,
CUST0482,2024-05-25,2024-06-30,Pro,United States,Real Estate,79,79,Wire,EUR,Yes,Churned,0,1,Switched to Competitor,,No Score,0,Partnership,No,Africa,2024-05,
CUST0483,2024-02-21,,Basic,Germany,HealthTech,29,116,Wire,GBP,No,Active,1,4,Not Provided,,No Score,0,Paid,No,Europe,2024-02,
CUST0484,2023-10-19,,Basic,United Kingdom,Marketing,29,232,PayPal,EUR,No,Active,1,8,Not Provided,,No Score,0,Organic,No,North America,2023-10,
CUST0485,2023-06-10,,Basic,United States,Real Estate,29,348,PayPal,GBP,No,Active,1,12,Not Provided,,No Score,1,Paid,No,North America,2023-06,
CUST0486,2023-07-14,,Basic,Australia,EdTech,29,319,Wire,EUR,No,Active,1,11,Not Provided,,No Score,0,Referral,No,Europe,2023-07,
CUST0487,2023-02-12,,Pro,United Kingdom,EdTech,79,1264,PayPal,USD,No,Active,1,16,Not Provided,,No Score,1,Organic,No,Africa,2023-02,
CUST0488,2024-01-27,2024-03-04,Pro,Canada,Real Estate,79,79,Card,GBP,Yes,Churned,0,1,Other,8,8,1,Organic,No,North America,2024-01,
CUST0489,2023-07-02,,Enterprise,United Kingdom,Fintech,199,2388,Wire,USD,No,Active,1,11,Not Provided,6,6,0,Organic,Yes,Other,2023-07,
CUST0490,2023-05-06,2023-09-04,Enterprise,Germany,HealthTech,199,796,PayPal,EUR,Yes,Churned,0,3,No Value,6,6,2,Partnership,Yes,North America,2023-05,
CUST0491,2023-01-17,,Basic,Nigeria,E-commerce,29,493,Card,EUR,No,Active,1,17,Not Provided,3,3,0,Organic,No,Other,2023-01,
CUST0492,2024-03-28,,Basic,Australia,E-commerce,29,87,PayPal,USD,No,Active,1,3,Not Provided,5,5,1,Referral,No,Africa,2024-03,
CUST0493,2023-06-24,,Enterprise,Germany,Fintech,199,2388,Wire,EUR,No,Active,1,12,Not Provided,,No Score,0,Paid,No,North America,2023-06,
CUST0494,2023-02-17,,Basic,United States,E-commerce,29,464,Card,USD,No,Active,1,16,Not Provided,,No Score,0,Organic,No,North America,2023-02,
CUST0495,2024-03-29,,Pro,United Kingdom,Fintech,79,237,Card,EUR,No,Active,1,3,Not Provided,7,7,0,Organic,No,Asia,2024-03,
CUST0496,2023-11-06,2024-02-19,Basic,India,HealthTech,29,87,PayPal,GBP,Yes,Churned,0,3,Bugs,,No Score,2,Organic,No,Africa,2023-11,
CUST0497,2024-02-14,,Basic,Canada,Fintech,29,116,Card,EUR,No,Active,1,4,Not Provided,,No Score,1,Organic,Yes,Africa,2024-02,
CUST0498,2023-01-11,,Basic,Nigeria,EdTech,29,493,PayPal,USD,No,Active,1,17,Not Provided,10,10,1,Referral,No,North America,2023-01,
CUST0499,2024-05-10,,Basic,United States,Real Estate,29,29,Wire,GBP,No,Active,1,1,Not Provided,4,4,0,Organic,No,Other,2024-05,
CUST0500,2023-03-08,2024-03-05,Pro,Canada,Fintech,79,948,PayPal,EUR,Yes,Churned,0,11,Other,5,5,0,Organic,No,Asia,2023-03,
CUST0501,2023-06-07,2023-11-02,Pro,Canada,Fintech,79,316,PayPal,EUR,Yes,Churned,0,4,Switched to Competitor,,No Score,1,Paid,No,Asia,2023-06,
CUST0502,2023-02-09,,Basic,United States,EdTech,29,464,PayPal,EUR,No,Active,1,16,Not Provided,6,6,2,Organic,Yes,Other,2023-02,
CUST0503,2024-04-05,2024-05-12,Basic,Nigeria,Fintech,29,29,PayPal,USD,Yes,Churned,0,1,No Value,7,7,0,Organic,No,Europe,2024-04,
CUST0504,2023-07-03,,Pro,Nigeria,EdTech,79,948,Wire,GBP,No,Active,1,11,Not Provided,,No Score,1,Paid,Yes,Europe,2023-07,
CUST0505,2023-01-16,,Pro,United States,Marketing,79,1343,PayPal,GBP,No,Active,1,17,Not Provided,4,4,1,Partnership,No,Asia,2023-01,
CUST0506,2023-12-09,2024-05-07,Basic,United Kingdom,HealthTech,29,145,Wire,USD,Yes,Churned,0,4,Switched to Competitor,6,6,1,Referral,No,North America,2023-12,
CUST0507,2024-03-10,2024-05-28,Basic,Australia,Real Estate,29,58,Wire,GBP,Yes,Churned,0,2,Switched to Competitor,7,7,3,Paid,Yes,Other,2024-03,
CUST0508,2023-09-26,,Pro,Nigeria,HealthTech,79,711,Card,USD,No,Active,1,9,Not Provided,6,6,0,Paid,No,Asia,2023-09,
CUST0509,2023-10-02,,Basic,Nigeria,Marketing,29,261,Card,USD,No,Active,1,8,Not Provided,2,2,5,Partnership,Yes,Other,2023-10,
CUST0510,2023-01-24,2023-06-29,Basic,United Kingdom,HealthTech,29,145,Wire,GBP,Yes,Churned,0,5,Pricing,10,10,1,Paid,No,North America,2023-01,
CUST0511,2023-10-25,2024-05-22,Pro,Canada,E-commerce,79,553,Card,GBP,Yes,Churned,0,6,Pricing,1,1,0,Organic,No,Europe,2023-10,
CUST0512,2023-01-24,,Pro,Australia,Marketing,79,1343,Card,USD,No,Active,1,17,Not Provided,8,8,0,Paid,No,Europe,2023-01,
CUST0513,2023-05-21,,Basic,United States,E-commerce,29,377,PayPal,EUR,No,Active,1,13,Not Provided,8,8,0,Organic,No,Other,2023-05,
CUST0514,2024-01-05,,Basic,Canada,HealthTech,29,145,Wire,USD,No,Active,1,5,Not Provided,,No Score,3,Organic,No,Africa,2024-01,
CUST0515,2023-01-10,,Pro,Nigeria,Marketing,79,1343,PayPal,USD,No,Active,1,17,Not Provided,,No Score,0,Organic,No,Asia,2023-01,
CUST0516,2023-02-12,,Pro,United States,Marketing,79,1264,Wire,GBP,No,Active,1,16,Not Provided,,No Score,1,Organic,Yes,Africa,2023-02,
